id,name,lat,lng,distance_km,elevation_gain_m,difficulty,rating,status,incidents_last_year,avg_temp_c,humidity_pct,wind_kmh,visibility_km,precipitation_chance,trail_type,surface,water_sources
1,Eagle Peak Trail,47.3769,8.5417,8.4,747,Hard,4.8,Caution,3,20,45,13,16,40,Loop,Rocky,0
2,Sunset Ridge Loop,47.4123,8.6021,5.2,320,Moderate,4.6,Safe,1,19,38,8,20,15,Loop,Dirt,2
3,Glacier View Path,47.2891,8.4756,12.1,1200,Expert,4.9,Risk,7,14,62,22,10,65,Out-and-Back,Rocky,1
4,Forest Creek Trail,47.3456,8.5892,3.8,180,Easy,4.3,Safe,0,21,50,6,25,10,Loop,Packed Dirt,3
5,Alpine Meadow Circuit,47.4567,8.4234,9.7,560,Moderate,4.7,Safe,2,18,42,11,18,25,Loop,Mixed,2
6,Black Bear Pass,47.2234,8.6789,14.3,1450,Expert,4.5,Danger,9,12,70,28,8,80,Out-and-Back,Scree,0
7,Lakeshore Promenade,47.5012,8.5123,4.1,90,Easy,4.4,Safe,0,22,40,5,30,5,Loop,Gravel,4
8,Thunder Falls Route,47.3234,8.4567,7.6,480,Moderate,4.6,Caution,2,17,55,15,14,35,Out-and-Back,Mixed,1
9,Summit Skyline Trek,47.4789,8.6234,11.2,980,Hard,4.8,Risk,5,15,58,20,12,55,Out-and-Back,Rocky,0
10,Wildflower Valley,47.3901,8.5678,6.3,250,Easy,4.5,Safe,0,20,44,7,22,20,Loop,Meadow,2
