trail_id,segment,lat,lng,elevation_m,segment_status
1,1,47.3769,8.5417,820,safe
1,2,47.3801,8.5489,870,safe
1,3,47.3834,8.5561,930,caution
1,4,47.3867,8.5612,1010,caution
1,5,47.3901,8.5678,1100,risk
1,6,47.3934,8.5723,1250,risk
1,7,47.3967,8.5789,1420,caution
1,8,47.4001,8.5834,1567,safe
2,1,47.4123,8.6021,640,safe
2,2,47.4156,8.6078,680,safe
2,3,47.4189,8.6134,720,safe
2,4,47.4212,8.6189,760,safe
2,5,47.4178,8.6245,720,safe
2,6,47.4145,8.6189,680,safe
2,7,47.4123,8.6021,640,safe
5,1,47.4567,8.4234,750,safe
5,2,47.4589,8.4312,800,safe
5,3,47.4612,8.4389,870,caution
5,4,47.4634,8.4467,950,caution
5,5,47.4612,8.4545,900,safe
5,6,47.4578,8.4512,840,safe
5,7,47.4545,8.4445,790,safe
5,8,47.4567,8.4234,750,safe
